title,name,house_type,area,position,floor,build_time,monthly_rental
京投银泰万科西华府丰台科技园总部基地全南二居,京投银泰万科西华府  ,2室1厅  ,91.9平米  ,科技园区租房,中楼层(共26层),2017年建板楼,7500
角门16号院 2室1厅 5300元,角门16号院  ,2室1厅  ,55.14平米  ,马家堡租房,中楼层(共4层),1998年建板楼,5300
科育小区装修比较好南北向两居房子状况较好适合一家人,科育小区  ,2室1厅  ,47.2平米  ,中关村租房,中楼层(共5层),1981年建板楼,8500
牡丹园花园路3号院 东南两居 电梯中楼层 地铁牡丹园站,花园路3号院  ,2室2厅  ,99.06平米  ,牡丹园租房,中楼层(共24层),2000年建塔楼,12000
全南采光大通透，家具齐全，希望一家人居住,广安﹒康馨家园  ,2室1厅  ,74.4平米  ,青塔租房,高楼层(共26层),2013年建板塔结合,4500
天鹅湾北区 精装修 两居室 家具家电全齐 看房随时,天鹅湾北区  ,2室1厅  ,86.83平米  ,朝青租房,中楼层(共26层),2007年建板塔结合,11000
观湖国际 3室1厅 26000元,观湖国际  ,3室1厅  ,203.98平米  ,朝阳公园租房,中楼层(共27层),2006年建板楼,26000
右安门内西街甲2号院 2室1厅 6500元,右安门内西街甲2号院  ,2室1厅  ,60.91平米  ,右安门内租房,中楼层(共6层),1991年建板楼,6500
建邦礼仕阁 1室0厅 12000元,建邦礼仕阁  ,1室0厅  ,61.01平米  ,月坛租房,高楼层(共10层),2010年建板楼,12000
红联南村45号院 2室1厅 7100元,红联南村45号院  ,2室1厅  ,50.7平米  ,新街口租房,中楼层(共5层),1984年建板楼,7100
宋家庄地铁  三条地铁交汇   酒店式科技智能,鲁能钓鱼台美高梅公馆  ,3房间2卫  ,63平米  ,刘家窑租房,低楼层(共18层),2017年建塔楼,10500
椿树园 2室1厅 8500元,椿树园  ,2室1厅  ,67.63平米  ,宣武门租房,低楼层(共13层),1999年建板塔结合,8500
怡馨园 2室1厅 13000元,怡馨园  ,2室1厅  ,103.93平米  ,双井租房,高楼层(共24层),1998年建塔楼,13000
北京苏活二区 3房间2卫 4200元,北京苏活二区  ,3房间2卫  ,55.19平米  ,顺义其它租房,中楼层(共8层),2010年建板塔结合,4200
复式结构，动静结合，房屋采光好,鹏润家园  ,3室2厅  ,207.21平米  ,菜户营租房,高楼层(共30层),2001年建塔楼,15500
郁花园二里 2室2厅 5300元,郁花园二里  ,2室2厅  ,114.9平米  ,郁花园租房,低楼层(共6层),2002年建板楼,5300
九号公寓 精装修4居室 通透 光照充足,九号公寓  ,4室2厅  ,396.43平米  ,农展馆租房,低楼层(共10层),2008年建板塔结合,45000
石油大院 3室2厅 12000元,石油大院  ,3室2厅  ,147.4平米  ,二里庄租房,低楼层(共12层),1999年建塔楼,12000
石园北区三居室，诚心出租，随时可以看房,石园北区  ,3室2厅  ,121.22平米  ,顺义城租房,高楼层(共6层),2000年建板楼,3800
西直门天兆家园，精装三居室，东西通透，采光充足,天兆家园  ,3室2厅  ,143.5平米  ,西直门租房,高楼层(共21层),2004年建板塔结合,17500
东村家园 3室1厅 8500元,东村家园  ,3室1厅  ,105.15平米  ,回龙观租房,中楼层(共8层),2005年建板塔结合,8500
盛和家园 北向大一居 业主第一次出租,盛和家园  ,1室1厅  ,67.14平米  ,亚运村小营租房,中楼层(共24层),2002年建塔楼,7200
二环里两居室，南北通透，可拎包入住,复康南里  ,2室1厅  ,57平米  ,天坛租房,中楼层(共6层),1980年建板楼,4600
手帕口北街近地铁达官营 南北三居室 集中供暖,手帕口北街  ,3室1厅  ,68.65平米  ,广安门租房,高楼层(共6层),1986年建板楼,7000
永泰东里低楼层南北通透正规两居室,永泰东里  ,2室1厅  ,59.89平米  ,清河租房,低楼层(共6层),1997年建板楼,6000
博雅国际 1室1厅 9500元,博雅国际  ,1室1厅  ,82.83平米  ,望京租房,中楼层(共26层),2005年建塔楼,9500
和平街西苑 1室1厅 5500元,和平街西苑  ,1室1厅  ,44.99平米  ,和平里租房,中楼层(共7层),1997年建板楼,5500
精装修朝南一居室，家具家电齐全，可拎包入住,方庄6号  ,1室1厅  ,71.47平米  ,方庄租房,高楼层(共17层),2008年建板塔结合,7000
东二环 地铁7号线 冠城名敦道南北三居 两梯两户板楼,冠城名敦道  ,3室2厅  ,174.97平米  ,广渠门租房,低楼层(共27层),2009年建板楼,21000
世茂奥临花园   精装三居   家具家电齐全,世茂奥临花园  ,3室2厅  ,175.36平米  ,奥林匹克公园租房,中楼层(共26层),2004年建板塔结合,18000
